"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Senile.coral.reef"
"341"	"f000/wlh2_000442.jpg"	0.038	0.952	0	0.01
"342"	"f000/wlh2_000530.jpg"	1	0	0	0
"343"	"f000/wlh2_000274.jpg"	0.278	0.386	0.004	0.332
"344"	"f000/wlh2_000734.jpg"	0.146	0.31	0.002	0.542
"345"	"f000/wlh2_000132.jpg"	0.064	0.726	0.002	0.208
"346"	"f000/wlh2_000301.jpg"	0.892	0.05	0	0.058
"347"	"f000/wlh2_000751.jpg"	0.368	0.504	0	0.128
"348"	"f000/wlh2_000982.jpg"	0.994	0.004	0	0.002
"349"	"f000/wlh2_000073.jpg"	0.01	0.974	0	0.016
"350"	"f000/wlh2_000166.jpg"	0.674	0.13	0	0.196
"351"	"f000/wlh2_000605.jpg"	0.006	0.942	0	0.052
"352"	"f000/wlh2_000448.jpg"	0.09	0.626	0.004	0.28
"353"	"f000/wlh2_000663.jpg"	0.02	0.868	0.016	0.096
"354"	"f000/wlh2_000619.jpg"	0.028	0.91	0.002	0.06
"355"	"f000/wlh2_000495.jpg"	0.998	0	0	0.002
"356"	"f000/wlh2_000965.jpg"	0.954	0.016	0	0.03
"357"	"f000/wlh2_000705.jpg"	0.544	0.394	0.014	0.048
"358"	"f000/wlh2_000956.jpg"	0.992	0	0	0.008
"359"	"f000/wlh2_000246.jpg"	0.042	0.09	0.002	0.866
"360"	"f000/wlh2_000276.jpg"	0.086	0.256	0.006	0.652
"361"	"f000/wlh2_000021.jpg"	0.998	0	0	0.002
"362"	"f000/wlh2_000647.jpg"	0.04	0.844	0	0.116
"363"	"f000/wlh2_000746.jpg"	0.836	0.102	0	0.062
"364"	"f000/wlh2_000622.jpg"	0.034	0.848	0.004	0.114
"365"	"f000/wlh2_000642.jpg"	0.03	0.91	0	0.06
"366"	"f000/wlh2_000303.jpg"	0.842	0.108	0	0.05
"367"	"f000/wlh2_000287.jpg"	0.086	0.6	0	0.314
"368"	"f000/wlh2_000211.jpg"	0.11	0.768	0	0.122
"369"	"f000/wlh2_000296.jpg"	0.384	0.376	0	0.24
"370"	"f000/wlh2_000067.jpg"	0.062	0.802	0.002	0.134
"371"	"f000/wlh2_000676.jpg"	0.002	0.34	0	0.658
"372"	"f000/wlh2_000917.jpg"	0.324	0.536	0.002	0.138
"373"	"f000/wlh2_000557.jpg"	1	0	0	0
"374"	"f000/wlh2_000996.jpg"	0.992	0.002	0	0.006
"375"	"f000/wlh2_000687.jpg"	0.024	0.714	0	0.262
"376"	"f000/wlh2_000160.jpg"	0.224	0.288	0	0.488
"377"	"f000/wlh2_000507.jpg"	0.996	0	0	0.004
"378"	"f000/wlh2_000114.jpg"	0.134	0.802	0.008	0.056
"379"	"f000/wlh2_000176.jpg"	0.306	0.318	0	0.376
"380"	"f000/wlh2_000839.jpg"	0.026	0.294	0	0.68
"381"	"f000/wlh2_000376.jpg"	0.49	0.33	0	0.18
"382"	"f000/wlh2_000601.jpg"	0.06	0.92	0.014	0.006
"383"	"f000/wlh2_000697.jpg"	0.018	0.882	0.002	0.098
"384"	"f000/wlh2_000423.jpg"	0.092	0.548	0	0.36
"385"	"f000/wlh2_000757.jpg"	0.972	0.024	0	0.004
"386"	"f000/wlh2_000571.jpg"	0.994	0	0	0.006
"387"	"f000/wlh2_000359.jpg"	0.362	0.302	0.004	0.332
"388"	"f000/wlh2_000398.jpg"	0.066	0.076	0	0.858
